time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-24 00:00:00+00:00,17,12,5,5
2025-10-25 00:00:00+00:00,25,19,5,2
2025-10-26 00:00:00+00:00,17,15,2,2
2025-10-27 00:00:00+00:00,33,25,7,3
2025-10-28 00:00:00+00:00,69,64,11,8
2025-10-29 00:00:00+00:00,15,11,1,1
2025-10-30 00:00:00+00:00,3,3,22,20
2025-10-31 00:00:00+00:00,8,7,2,1
2025-11-01 00:00:00+00:00,21,16,2,1
2025-11-02 00:00:00+00:00,9,9,21,6
2025-11-03 00:00:00+00:00,7,7,0,0
2025-11-04 00:00:00+00:00,6,5,4,2
2025-11-05 00:00:00+00:00,12,12,2,2
2025-11-06 00:00:00+00:00,28,13,3,3
2025-11-07 00:00:00+00:00,17,12,17,14
